Lugar;Espacialidade;"COD IBGE";"IDHM (2010)"
Brasil;País;--;0,727
Acre;Estado;12;0,663
Alagoas;Estado;27;0,631
Amazonas;Estado;13;0,674
Amapá;Estado;16;0,708
Bahia;Estado;29;0,660
Ceará;Estado;23;0,682
"Distrito Federal";Estado;53;0,824
"Espírito Santo";Estado;32;0,740
Goiás;Estado;52;0,735
Maranhão;Estado;21;0,639
"Minas Gerais";Estado;31;0,731
"Mato Grosso do Sul";Estado;50;0,729
"Mato Grosso";Estado;51;0,725
Pará;Estado;15;0,646
Paraíba;Estado;25;0,658
Pernambuco;Estado;26;0,673
Piauí;Estado;22;0,646
Paraná;Estado;41;0,749
"Rio de Janeiro";Estado;33;0,761
"Rio Grande do Norte";Estado;24;0,684
Rondônia;Estado;11;0,690
Roraima;Estado;14;0,707
"Rio Grande do Sul";Estado;43;0,746
"Santa Catarina";Estado;42;0,774
Sergipe;Estado;28;0,665
"São Paulo";Estado;35;0,783
Tocantins;Estado;17;0,699

