Lugar;Espacialidade;"COD IBGE";"IDHM (2010)"
Brasil;País;--;0,727
"Acrelândia (AC)";Município;120001;0,604
"Assis Brasil (AC)";Município;120005;0,588
"Brasiléia (AC)";Município;120010;0,614
"Bujari (AC)";Município;120013;0,589
"Capixaba (AC)";Município;120017;0,575
"Cruzeiro do Sul (AC)";Município;120020;0,664
"Epitaciolândia (AC)";Município;120025;0,653
"Feijó (AC)";Município;120030;0,539
"Jordão (AC)";Município;120032;0,469
"Mâncio Lima (AC)";Município;120033;0,625
"Manoel Urbano (AC)";Município;120034;0,551
"Marechal Thaumaturgo (AC)";Município;120035;0,501
"Plácido de Castro (AC)";Município;120038;0,622
"Porto Acre (AC)";Município;120080;0,576
"Porto Walter (AC)";Município;120039;0,532
"Rio Branco (AC)";Município;120040;0,727
"Rodrigues Alves (AC)";Município;120042;0,567
"Santa Rosa do Purus (AC)";Município;120043;0,517
"Senador Guiomard (AC)";Município;120045;0,640
"Sena Madureira (AC)";Município;120050;0,603
"Tarauacá (AC)";Município;120060;0,539
"Xapuri (AC)";Município;120070;0,599
"Água Branca (AL)";Município;270010;0,549
"Anadia (AL)";Município;270020;0,568
"Arapiraca (AL)";Município;270030;0,649
"Atalaia (AL)";Município;270040;0,561
"Barra de Santo Antônio (AL)";Município;270050;0,557
"Barra de São Miguel (AL)";Município;270060;0,615
"Batalha (AL)";Município;270070;0,594
"Belém (AL)";Município;270080;0,593
"Belo Monte (AL)";Município;270090;0,517
"Boca da Mata (AL)";Município;270100;0,604
"Branquinha (AL)";Município;270110;0,513
"Cacimbinhas (AL)";Município;270120;0,531
"Cajueiro (AL)";Município;270130;0,562
"Campestre (AL)";Município;270135;0,559
"Campo Alegre (AL)";Município;270140;0,570
"Campo Grande (AL)";Município;270150;0,524
"Canapi (AL)";Município;270160;0,506
"Capela (AL)";Município;270170;0,573
"Carneiros (AL)";Município;270180;0,526
"Chã Preta (AL)";Município;270190;0,575
"Coité do Nóia (AL)";Município;270200;0,533
"Colônia Leopoldina (AL)";Município;270210;0,517
"Coqueiro Seco (AL)";Município;270220;0,586
"Coruripe (AL)";Município;270230;0,626
"Craíbas (AL)";Município;270235;0,525
"Delmiro Gouveia (AL)";Município;270240;0,612
"Dois Riachos (AL)";Município;270250;0,532
"Estrela de Alagoas (AL)";Município;270255;0,534
"Feira Grande (AL)";Município;270260;0,533
"Feliz Deserto (AL)";Município;270270;0,565
"Flexeiras (AL)";Município;270280;0,527
"Girau do Ponciano (AL)";Município;270290;0,536
"Ibateguara (AL)";Município;270300;0,518
"Igaci (AL)";Município;270310;0,564
"Igreja Nova (AL)";Município;270320;0,568
